,1,2,3,4,5,6,7,8,9,10
0.5,0.48275862069,0.353448275862,0.301724137931,0.413793103448,0.336206896552,0.370689655172,0.344827586207,0.310344827586,0.413793103448,0.422413793103
0.2,0.276595744681,0.382978723404,0.255319148936,0.297872340426,0.340425531915,0.31914893617,0.340425531915,0.36170212766,0.468085106383,0.36170212766
0.4,0.311827956989,0.311827956989,0.290322580645,0.333333333333,0.322580645161,0.311827956989,0.268817204301,0.365591397849,0.322580645161,0.333333333333
0.8,0.394594594595,0.4,0.405405405405,0.491891891892,0.356756756757,0.432432432432,0.416216216216,0.4,0.454054054054,0.491891891892
0.3,0.328571428571,0.385714285714,0.357142857143,0.285714285714,0.271428571429,0.257142857143,0.314285714286,0.314285714286,0.314285714286,0.271428571429
0.6,0.330935251799,0.381294964029,0.431654676259,0.352517985612,0.410071942446,0.330935251799,0.338129496403,0.36690647482,0.431654676259,0.323741007194
0.1,0.291666666667,0.291666666667,0.166666666667,0.375,0.291666666667,0.125,0.166666666667,0.333333333333,0.5,0.208333333333
0.9,0.442307692308,0.466346153846,0.504807692308,0.490384615385,0.572115384615,0.528846153846,0.509615384615,0.451923076923,0.495192307692,0.451923076923
0.7,0.382716049383,0.37037037037,0.333333333333,0.388888888889,0.407407407407,0.376543209877,0.425925925926,0.395061728395,0.345679012346,0.401234567901
,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
0.5,0.351464435146,0.259414225941,0.267782426778,0.313807531381,0.255230125523,0.238493723849,0.251046025105,0.259414225941,0.267782426778,0.355648535565
0.2,0.271966527197,0.284518828452,0.221757322176,0.242677824268,0.301255230126,0.301255230126,0.234309623431,0.251046025105,0.246861924686,0.246861924686
0.4,0.28870292887,0.26359832636,0.259414225941,0.26359832636,0.213389121339,0.225941422594,0.225941422594,0.192468619247,0.246861924686,0.221757322176
0.8,0.376569037657,0.34309623431,0.309623430962,0.389121338912,0.28870292887,0.380753138075,0.322175732218,0.36820083682,0.397489539749,0.393305439331
0.3,0.246861924686,0.259414225941,0.301255230126,0.251046025105,0.26359832636,0.322175732218,0.255230125523,0.251046025105,0.251046025105,0.217573221757
0.6,0.234309623431,0.322175732218,0.355648535565,0.28870292887,0.292887029289,0.255230125523,0.238493723849,0.317991631799,0.301255230126,0.301255230126
0.1,0.26359832636,0.284518828452,0.301255230126,0.280334728033,0.246861924686,0.271966527197,0.225941422594,0.242677824268,0.234309623431,0.26359832636
0.9,0.376569037657,0.410041841004,0.464435146444,0.410041841004,0.481171548117,0.389121338912,0.426778242678,0.435146443515,0.418410041841,0.410041841004
0.7,0.259414225941,0.251046025105,0.305439330544,0.309623430962,0.301255230126,0.292887029289,0.376569037657,0.292887029289,0.246861924686,0.301255230126